pickupLatitude,pickupLongitude,No of orders
9.46117020° N,76.55870056° E,46
9.46166039° N,76.55870056° E,10
9.61271954° N,77.95709991° E,82
9.70950985° N,76.67410278° E,12
9.89414978° N,76.71469879° E,15
9.97951984° N,76.47760010° E,5
9.98157978° N,76.58000183° E,6
10.11919975° N,76.47499847° E,17
10.20030022° N,76.38400269° E,38
10.53090000° N,76.20200348° E,24
10.75990009° N,78.68219757° E,69
10.79880047° N,78.68650055° E,107
10.82740021° N,78.68399811° E,33
10.82789993° N,78.68560028° E,4
10.97700024° N,76.21839905° E,15
11.12269974° N,76.11920166° E,13
11.66139984° N,76.25589752° E,30
11.86349964° N,75.40779877° E,38
11.86709976° N,75.37049866° E,5
12.04199982° N,75.35549927° E,56
12.11359978° N,75.21839905° E,12
12.33180046° N,75.08209991° E,9
12.42280006° N,75.73989868° E,18
12.72420025° N,77.83309937° E,6
12.72490025° N,77.81839752° E,1
12.76159954° N,77.70259857° E,1
12.78139973° N,77.76419830° E,33
12.78289986° N,77.76390076° E,22
12.78909969° N,77.70439911° E,9
12.79010010° N,80.22170258° E,513
12.79339981° N,77.70610046° E,40
12.80700016° N,77.69830322° E,11
12.80720043° N,77.69799805° E,5
12.81509972° N,77.51190186° E,2
12.82289982° N,74.85939789° E,36
12.82369995° N,77.68589783° E,110
12.82380009° N,77.68489838° E,20
12.82390022° N,77.68509674° E,2
12.82610035° N,77.51349640° E,56
12.83290005° N,80.04759979° E,227
12.83310032° N,80.04779816° E,41
12.83500004° N,77.69390106° E,2
12.83530045° N,77.69360352° E,5
12.83539963° N,77.69219971° E,6
12.83679962° N,77.67880249° E,216
12.83829975° N,77.65059662° E,1
12.83940029° N,77.65609741° E,1
12.83990002° N,77.65609741° E,1
12.83990002° N,77.65950012° E,17
12.84020042° N,77.65339661° E,8
12.84020042° N,77.65339661° E,11
12.84029961° N,77.65339661° E,2
12.84049988° N,77.66369629° E,20
12.84049988° N,77.65650177° E,2
12.84130001° N,77.64980316° E,2
12.84130001° N,77.64990234° E,3
12.84150028° N,77.64499664° E,1
12.84160042° N,77.64489746° E,1
12.84169960° N,77.67839813° E,120
12.84169960° N,77.64790344° E,160
12.84200001° N,77.67669678° E,5
12.84270000° N,77.64140320° E,252
12.84290028° N,77.64199829° E,17
12.84290028° N,77.64109802° E,5
12.84360027° N,77.64399719° E,1
12.84560013° N,77.68280029° E,8
12.84659958° N,77.68250275° E,4
12.84809971° N,77.65499878° E,1
